shapeColor,studyLoops.thisRepN,studyLoops.thisTrialN,studyLoops.thisN,studyLoops.thisIndex,textWelcome.started,textWelcome.stopped,keyEndWelcome.keys,keyEndWelcome.rt,keyEndWelcome.started,keyEndWelcome.stopped,textBlank.started,textBlank.stopped,keyStudyDemo.keys,keyStudyDemo.rt,keyStudyDemo.started,keyStudyDemo.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,10.864582351990975,None,space,1.2310524589847773,10.864582351990975,None,,,,,,,,,,001,2021_Feb_21_2358,libraryTutorialPsychoPy,2021.1.0,59.866640474382244,
purple,0,0,0,5,,,,,,,13.765247684990754,None,space,1.108997025003191,12.634653352986788,None,12.634653352986788,None,,001,2021_Feb_21_2358,libraryTutorialPsychoPy,2021.1.0,59.866640474382244,
green,0,1,1,1,,,,,,,15.681295385991689,None,space,1.3903133859857917,14.265311839990318,None,14.265311839990318,None,,001,2021_Feb_21_2358,libraryTutorialPsychoPy,2021.1.0,59.866640474382244,
yellow,0,2,2,3,,,,,,,16.482469730981393,None,space,0.27394718502182513,16.18168268498266,None,16.18168268498266,None,,001,2021_Feb_21_2358,libraryTutorialPsychoPy,2021.1.0,59.866640474382244,
black,0,3,3,4,,,,,,,17.298229465988697,None,space,0.2817562540003564,16.99788723498932,None,16.99788723498932,None,,001,2021_Feb_21_2358,libraryTutorialPsychoPy,2021.1.0,59.866640474382244,
blue,0,4,4,0,,,,,,,18.164629117993172,None,space,0.3451801399933174,17.79845950799063,None,17.79845950799063,None,,001,2021_Feb_21_2358,libraryTutorialPsychoPy,2021.1.0,59.866640474382244,
orange,0,5,5,6,,,,,,,18.96460541599663,None,space,0.2708109770028386,18.664831550995586,None,18.664831550995586,None,,001,2021_Feb_21_2358,libraryTutorialPsychoPy,2021.1.0,59.866640474382244,
red,0,6,6,2,,,,,,,19.814610470988555,None,space,0.31864409599802457,19.46502818298177,None,19.46502818298177,None,,001,2021_Feb_21_2358,libraryTutorialPsychoPy,2021.1.0,59.866640474382244,
pink,0,7,7,7,,,,,,,20.598180989996763,None,space,0.26092509599402547,20.31469545298023,None,20.31469545298023,None,,001,2021_Feb_21_2358,libraryTutorialPsychoPy,2021.1.0,59.866640474382244,
,,,,,,,,,,,21.09783206699649,21.09783206699649,,,,,,,,,,,,,
